,ROBO_ID,OCCURRENCE,CODE,CONTENT,CLASS
10212,225,6.02.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
10229,232,6.02.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
11545,277,3.04.2022,E3792,The encoder value changed in the power off. [JT3Axis],0.0
11584,278,6.02.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
11585,278,6.02.2021,E3792,The encoder value changed in the power off. [JT4Axis],0.0
11586,278,6.02.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
11659,280,6.05.2022,E3792,The encoder value changed in the power off. [JT6Axis],0.0
11660,280,6.05.2022,E3792,The encoder value changed in the power off. [JT5Axis],0.0
11661,280,6.05.2022,E3792,The encoder value changed in the power off. [JT4Axis],0.0
11662,280,6.05.2022,E3792,The encoder value changed in the power off. [JT3Axis],0.0
11663,280,6.05.2022,E3792,The encoder value changed in the power off. [JT2Axis],0.0
11664,280,6.05.2022,E3792,The encoder value changed in the power off. [JT1Axis],0.0
11674,281,6.02.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
11675,281,6.02.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
11676,281,6.02.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
11677,281,6.02.2021,E3792,The encoder value changed in the power off. [JT4Axis],0.0
11678,281,6.02.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
11679,281,6.02.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
11680,281,6.02.2021,E3792,The encoder value changed in the power off. [JT1Axis],0.0
12440,297,16.12.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
12476,297,16.12.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
12478,297,16.12.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
12479,297,16.12.2021,E3792,The encoder value changed in the power off. [JT4Axis],0.0
12480,297,16.12.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
12481,297,16.12.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
12482,297,16.12.2021,E3792,The encoder value changed in the power off. [JT1Axis],0.0
12812,308,6.02.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
12841,308,31.05.2022,E3792,The encoder value changed in the power off. [JT2Axis],0.0
12884,311,27.02.2022,E3792,The encoder value changed in the power off. [JT3Axis],0.0
12928,312,15.05.2022,E3792,The encoder value changed in the power off. [JT6Axis],0.0
12979,313,4.06.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
12980,313,4.06.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
12981,313,4.06.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
12982,313,4.06.2021,E3792,The encoder value changed in the power off. [JT4Axis],0.0
12983,313,4.06.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
12984,313,4.06.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
12985,313,4.06.2021,E3792,The encoder value changed in the power off. [JT1Axis],0.0
13000,313,15.10.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13073,315,20.01.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13074,315,20.01.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
13075,315,20.01.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
13076,315,20.01.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
13077,315,20.01.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
13078,315,20.01.2021,E3792,The encoder value changed in the power off. [JT1Axis],0.0
13158,315,10.03.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13484,325,12.03.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13506,327,6.02.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13507,327,6.02.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
13508,327,6.02.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
13509,327,6.02.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
13528,328,4.08.2020,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13529,328,4.08.2020,E3792,The encoder value changed in the power off. [JT6Axis],0.0
13530,328,4.08.2020,E3792,The encoder value changed in the power off. [JT5Axis],0.0
13531,328,4.08.2020,E3792,The encoder value changed in the power off. [JT4Axis],0.0
13532,328,4.08.2020,E3792,The encoder value changed in the power off. [JT3Axis],0.0
13533,328,4.08.2020,E3792,The encoder value changed in the power off. [JT2Axis],0.0
13534,328,4.08.2020,E3792,The encoder value changed in the power off. [JT1Axis],0.0
13580,329,2.03.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13590,329,3.03.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13608,329,4.03.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13616,329,5.03.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13636,330,3.08.2020,E3792,The encoder value changed in the power off. [JT6Axis],0.0
13637,330,3.08.2020,E3792,The encoder value changed in the power off. [JT5Axis],0.0
13638,330,3.08.2020,E3792,The encoder value changed in the power off. [JT4Axis],0.0
13639,330,3.08.2020,E3792,The encoder value changed in the power off. [JT3Axis],0.0
13640,330,3.08.2020,E3792,The encoder value changed in the power off. [JT2Axis],0.0
13641,330,3.08.2020,E3792,The encoder value changed in the power off. [JT1Axis],0.0
13664,330,8.11.2020,E3792,The encoder value changed in the power off. [JT6Axis],0.0
13665,330,8.11.2020,E3792,The encoder value changed in the power off. [JT5Axis],0.0
13666,330,8.11.2020,E3792,The encoder value changed in the power off. [JT4Axis],0.0
13667,330,8.11.2020,E3792,The encoder value changed in the power off. [JT3Axis],0.0
13668,330,8.11.2020,E3792,The encoder value changed in the power off. [JT2Axis],0.0
13669,330,8.11.2020,E3792,The encoder value changed in the power off. [JT1Axis],0.0
13709,330,3.09.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
13710,330,3.09.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
13711,330,3.09.2021,E3792,The encoder value changed in the power off. [JT4Axis],0.0
13712,330,3.09.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
13713,330,3.09.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
13714,330,3.09.2021,E3792,The encoder value changed in the power off. [JT1Axis],0.0
13724,331,10.03.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
13725,331,10.03.2022,E3792,The encoder value changed in the power off. [JT6Axis],0.0
13726,331,10.03.2022,E3792,The encoder value changed in the power off. [JT4Axis],0.0
13727,331,10.03.2022,E3792,The encoder value changed in the power off. [JT3Axis],0.0
13728,331,10.03.2022,E3792,The encoder value changed in the power off. [JT2Axis],0.0
13729,331,10.03.2022,E3792,The encoder value changed in the power off. [JT1Axis],0.0
13773,333,3.08.2020,E3792,The encoder value changed in the power off. [JT6Axis],0.0
13774,333,3.08.2020,E3792,The encoder value changed in the power off. [JT5Axis],0.0
13775,333,3.08.2020,E3792,The encoder value changed in the power off. [JT4Axis],0.0
13776,333,3.08.2020,E3792,The encoder value changed in the power off. [JT3Axis],0.0
13777,333,3.08.2020,E3792,The encoder value changed in the power off. [JT2Axis],0.0
13778,333,3.08.2020,E3792,The encoder value changed in the power off. [JT1Axis],0.0
13838,336,17.01.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
14092,349,13.11.2021,E3792,The encoder value changed in the power off. [J22Axis],0.0
14093,349,13.11.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
14094,349,13.11.2021,E3792,The encoder value changed in the power off. [JT4Axis],0.0
14095,349,13.11.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
14096,349,13.11.2021,E3792,The encoder value changed in the power off. [J21Axis],0.0
14150,353,14.05.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
14313,359,1.02.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
13168,315,10.03.2022,E3791,The encoder reset exceeded.,0.0
13619,329,5.03.2022,E1600,Check robot pin position and operate encoder correction. [JT7Axis],0.0
678,10,20.06.2021,E1038,Encoder ABS-track error.( jt  7),0.0
690,10,21.06.2021,E1038,Encoder ABS-track error.( jt  7),0.0
782,10,22.06.2021,E1038,Encoder ABS-track error.( jt  7),0.0
6008,137,11.04.2022,E1038,Encoder ABS-track error.( jt  7),0.0
8718,185,16.12.2021,E1038,Encoder ABS-track error.( jt  6),0.0
8762,185,12.04.2022,E1038,Encoder ABS-track error.( jt  6),0.0
10756,257,30.11.2021,E1038,Encoder ABS-track error.( jt  6),0.0
10802,257,16.02.2022,E1038,Encoder ABS-track error.( jt  6),0.0
10818,257,3.03.2022,E1038,Encoder ABS-track error.( jt  6),0.0
10831,257,28.03.2022,E1038,Encoder ABS-track error.( jt  6),0.0
10843,257,26.04.2022,E1038,Encoder ABS-track error.( jt  6),0.0
10856,257,18.07.2022,E1038,Encoder ABS-track error.( jt  6),0.0
700,10,21.06.2021,E1030,Encoder data is abnormal.( jt  7),0.0
786,10,22.06.2021,E1030,Encoder data is abnormal.( jt  7),0.0
3336,66,10.08.2020,E1030,Encoder data is abnormal.( jt  1 2 3 4 5 6),0.0
4598,125,6.02.2021,E1030,Encoder data is abnormal.( jt  2 5 6),0.0
7296,164,2.04.2022,E1030,Encoder data is abnormal.( jt  7),0.0
7767,176,17.11.2021,E1030,Encoder data is abnormal.( jt  1 2 3 4 5 6 7),0.0
11733,289,10.01.2021,E1030,Encoder data is abnormal.( jt  1 2 3 4 5 6 7),0.0
11941,293,6.02.2021,E1030,Encoder data is abnormal.( jt  6),0.0
701,10,21.06.2021,E1034,Encoder initialize error ( jt  7).,0.0
787,10,22.06.2021,E1034,Encoder initialize error ( jt  7).,0.0
749,10,21.06.2021,E1035,Encoder response error( Jt  1).,0.0
756,10,21.06.2021,E1035,Encoder response error( Jt  2).,0.0
758,10,21.06.2021,E1035,Encoder response error( Jt  2 4).,0.0
759,10,21.06.2021,E1035,Encoder response error( Jt  2 4 5).,0.0
760,10,21.06.2021,E1035,Encoder response error( Jt  1 2 4 5 6).,0.0
761,10,21.06.2021,E1035,Encoder response error( Jt  1 2 3 4 5 6).,0.0
6525,155,17.04.2022,E1035,Encoder response error( Jt  7).,0.0
9234,188,20.07.2022,E1035,? 5?????????????????,0.0
11814,289,20.06.2021,E1035,Encoder response error( Jt  7).,0.0
750,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT1.(code 1DC19900 00000402),0.0
751,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT2.(code 1DC29C00 00000702),0.0
752,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT3.(code 1DC39C00 00000702),0.0
753,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT4.(code 1DC49C00 00000402),0.0
754,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT5.(code 1DC59C00 00001702),0.0
755,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT6.(code 1DC69C00 00000402),0.0
762,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT1.(code 1DC10F00 00000402),0.0
763,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT2.(code 1DC20F00 00000502),0.0
764,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT3.(code 1DC30F00 00000502),0.0
765,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT4.(code 1DC40F00 00003502),0.0
766,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT5.(code 1DC50F00 00003702),0.0
767,10,21.06.2021,E9437,[Cubic-S(1)] Encoder communication error in JT6.(code 1DC60F00 00001702),0.0
757,10,21.06.2021,E1036,Encoder communication error.( jt  2) ,0.0
9236,188,20.07.2022,E1036,? 5???????????????,0.0
910,17,13.07.2021,E0051,Encoder data transmission failure [JT7Axis],0.0
3526,67,15.02.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
3527,67,22.02.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
3528,67,24.02.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
3529,67,1.03.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
3735,94,28.10.2021,E0051,Encoder data transmission failure [JT5Axis],0.0
3748,94,1.11.2021,E0051,Encoder data transmission failure [JT5Axis],0.0
3762,94,1.11.2021,E0051,Encoder data transmission failure [JT6Axis],0.0
3763,94,1.11.2021,E0051,Encoder data transmission failure [JT3Axis],0.0
3774,94,7.11.2021,E0051,Encoder data transmission failure [JT5Axis],0.0
4491,117,10.01.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
4510,119,13.12.2021,E0051,Encoder data transmission failure [JT7Axis],0.0
4511,119,17.12.2021,E0051,Encoder data transmission failure [JT7Axis],0.0
4512,119,24.02.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
4514,119,19.03.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
4515,119,29.03.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
4516,119,5.04.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
4517,119,11.04.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
4518,119,10.05.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
4519,119,22.07.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
11547,277,3.04.2022,E0051,Encoder data transmission failure [JT3Axis],0.0
12400,297,16.12.2021,E0051,Encoder data transmission failure [JT7Axis],0.0
12401,297,16.12.2021,E0051,Encoder data transmission failure [JT5Axis],0.0
12402,297,16.12.2021,E0051,Encoder data transmission failure [JT4Axis],0.0
12403,297,16.12.2021,E0051,Encoder data transmission failure [JT3Axis],0.0
12404,297,16.12.2021,E0051,Encoder data transmission failure [JT2Axis],0.0
12405,297,16.12.2021,E0051,Encoder data transmission failure [JT1Axis],0.0
12434,297,16.12.2021,E0051,Encoder data transmission failure [JT6Axis],0.0
12622,301,24.05.2022,E0051,Encoder data transmission failure [JT1Axis],0.0
12885,311,27.02.2022,E0051,Encoder data transmission failure [JT3Axis],0.0
13342,320,26.02.2021,E0051,Encoder data transmission failure [JT6Axis],0.0
13615,329,5.03.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
13630,330,23.07.2020,E0051,Encoder data transmission failure [JT6Axis],0.0
13631,330,23.07.2020,E0051,Encoder data transmission failure [JT5Axis],0.0
13632,330,23.07.2020,E0051,Encoder data transmission failure [JT4Axis],0.0
13633,330,23.07.2020,E0051,Encoder data transmission failure [JT3Axis],0.0
13634,330,23.07.2020,E0051,Encoder data transmission failure [JT2Axis],0.0
13635,330,23.07.2020,E0051,Encoder data transmission failure [JT1Axis],0.0
13730,331,10.03.2022,E0051,Encoder data transmission failure [JT7Axis],0.0
13732,331,10.03.2022,E0051,Encoder data transmission failure [JT6Axis],0.0
13733,331,10.03.2022,E0051,Encoder data transmission failure [JT4Axis],0.0
13734,331,10.03.2022,E0051,Encoder data transmission failure [JT3Axis],0.0
13735,331,10.03.2022,E0051,Encoder data transmission failure [JT2Axis],0.0
13736,331,10.03.2022,E0051,Encoder data transmission failure [JT1Axis],0.0
13767,333,23.07.2020,E0051,Encoder data transmission failure [JT6Axis],0.0
13768,333,23.07.2020,E0051,Encoder data transmission failure [JT5Axis],0.0
13769,333,23.07.2020,E0051,Encoder data transmission failure [JT4Axis],0.0
13770,333,23.07.2020,E0051,Encoder data transmission failure [JT3Axis],0.0
13771,333,23.07.2020,E0051,Encoder data transmission failure [JT2Axis],0.0
13772,333,23.07.2020,E0051,Encoder data transmission failure [JT1Axis],0.0
14297,359,31.01.2021,E0051,Encoder data transmission failure [JT5Axis],0.0
14300,359,1.02.2021,E0051,Encoder data transmission failure [JT5Axis],0.0
1885,33,12.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
1943,34,7.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
1962,34,6.12.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2009,34,2.08.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2011,35,16.01.2021,E0027,Encoder data change after stop [JT1Axis],0.0
2012,35,30.01.2021,E0027,Encoder data change after stop [JT1Axis],0.0
2016,35,11.07.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2017,35,11.07.2021,E0027,???????? [JT7?],0.0
2018,35,26.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2019,35,26.08.2021,E0027,???????? [JT7?],0.0
2153,39,5.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2158,39,12.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2171,39,6.12.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2172,39,5.01.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2201,40,22.11.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2202,40,22.11.2021,E0027,Encoder data change after stop [JT4Axis],0.0
2203,40,22.11.2021,E0027,Encoder data change after stop [JT2Axis],0.0
2204,40,22.11.2021,E0027,Encoder data change after stop [JT1Axis],0.0
2205,40,6.12.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2230,41,2.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2231,41,2.08.2021,E0027,???????? [JT7?],0.0
2234,41,24.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2235,41,24.08.2021,E0027,???????? [JT7?],0.0
2236,41,3.10.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2237,41,3.10.2021,E0027,???????? [JT7?],0.0
2247,43,5.12.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2278,43,20.03.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2285,43,18.05.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2295,43,5.07.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2351,45,28.07.2021,E0027,Encoder data change after stop [JT2Axis],0.0
2363,45,30.11.2021,E0027,Encoder data change after stop [JT2Axis],0.0
2365,45,29.12.2021,E0027,Encoder data change after stop [JT2Axis],0.0
2367,45,29.12.2021,E0027,???????? [JT2?],0.0
2369,45,13.01.2022,E0027,Encoder data change after stop [JT2Axis],0.0
2371,45,13.01.2022,E0027,???????? [JT2?],0.0
2377,45,5.02.2022,E0027,Encoder data change after stop [JT2Axis],0.0
2379,45,5.02.2022,E0027,???????? [JT2?],0.0
2381,45,28.04.2022,E0027,Encoder data change after stop [JT2Axis],0.0
2383,45,28.04.2022,E0027,???????? [JT2?],0.0
2385,45,12.05.2022,E0027,Encoder data change after stop [JT2Axis],0.0
2387,45,12.05.2022,E0027,???????? [JT2?],0.0
2397,45,2.06.2022,E0027,???????? [JT2?],0.0
2399,45,2.06.2022,E0027,Encoder data change after stop [JT2Axis],0.0
2403,45,25.06.2022,E0027,???????? [JT2?],0.0
2405,45,25.06.2022,E0027,Encoder data change after stop [JT2Axis],0.0
2433,46,7.10.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2438,46,12.10.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2443,46,22.10.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2446,46,23.10.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2451,46,26.10.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2456,46,28.11.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2457,46,13.12.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2459,46,14.12.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2461,46,20.12.2021,E0027,Encoder data change after stop [JT5Axis],0.0
2468,46,12.01.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2470,46,13.01.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2472,46,18.01.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2475,46,24.01.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2480,46,31.01.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2484,46,1.02.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2488,46,10.02.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2490,46,11.02.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2492,46,14.02.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2496,46,23.02.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2498,46,2.03.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2500,46,4.03.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2581,46,24.03.2022,E0027,???????? [JT5?],0.0
2583,46,24.03.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2585,46,30.03.2022,E0027,???????? [JT5?],0.0
2587,46,30.03.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2589,46,1.04.2022,E0027,???????? [JT5?],0.0
2591,46,1.04.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2597,46,7.04.2022,E0027,???????? [JT5?],0.0
2599,46,7.04.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2601,46,13.04.2022,E0027,???????? [JT5?],0.0
2603,46,13.04.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2605,46,14.04.2022,E0027,???????? [JT5?],0.0
2607,46,14.04.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2609,46,18.04.2022,E0027,???????? [JT5?],0.0
2611,46,18.04.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2617,46,22.04.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2619,46,22.04.2022,E0027,???????? [JT5?],0.0
2627,46,12.05.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2629,46,12.05.2022,E0027,???????? [JT5?],0.0
2631,46,2.06.2022,E0027,???????? [JT5?],0.0
2633,46,2.06.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2641,46,22.06.2022,E0027,???????? [JT5?],0.0
2643,46,22.06.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2645,46,23.06.2022,E0027,???????? [JT5?],0.0
2647,46,23.06.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2651,46,18.07.2022,E0027,???????? [JT5?],0.0
2653,46,18.07.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2657,46,26.07.2022,E0027,???????? [JT5?],0.0
2659,46,26.07.2022,E0027,Encoder data change after stop [JT5Axis],0.0
2669,46,31.07.2022,E0027,???????? [JT1?],0.0
2670,46,31.07.2022,E0027,Encoder data change after stop [JT1Axis],0.0
2789,50,9.05.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2795,50,9.01.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2802,50,9.03.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2819,51,15.05.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2835,51,1.05.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2840,52,9.05.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2848,53,5.12.2021,E0027,Encoder data change after stop [JT7Axis],0.0
2849,53,5.12.2021,E0027,???????? [JT7?],0.0
2870,53,8.03.2022,E0027,???????? [JT7?],0.0
2871,53,8.03.2022,E0027,Encoder data change after stop [JT7Axis],0.0
2891,54,1.08.2021,E0027,Encoder data change after stop [JT1Axis],0.0
3075,59,25.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
3079,59,6.12.2021,E0027,Encoder data change after stop [JT7Axis],0.0
3080,59,7.03.2022,E0027,Encoder data change after stop [JT7Axis],0.0
3081,59,1.05.2022,E0027,Encoder data change after stop [JT7Axis],0.0
3702,92,29.11.2020,E0027,Encoder data change after stop [JT1Axis],0.0
3711,92,20.06.2021,E0027,Encoder data change after stop [JT7Axis],0.0
3819,100,7.03.2022,E0027,Encoder data change after stop [JT7Axis],0.0
3845,104,20.03.2022,E0027,Encoder data change after stop [JT7Axis],0.0
3850,105,26.09.2021,E0027,Encoder data change after stop [JT7Axis],0.0
4419,113,14.11.2021,E0027,Encoder data change after stop [JT7Axis],0.0
4492,117,17.03.2022,E0027,Encoder data change after stop [JT7Axis],0.0
4521,122,4.08.2020,E0027,Encoder data change after stop [JT7Axis],0.0
4524,122,4.12.2021,E0027,Encoder data change after stop [JT7Axis],0.0
6314,149,1.05.2021,E0027,Encoder data change after stop [JT7Axis],0.0
6318,149,1.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
6331,151,9.09.2021,E0027,Encoder data change after stop [JT7Axis],0.0
6340,152,2.10.2020,E0027,Encoder data change after stop [JT7Axis],0.0
6341,152,17.12.2020,E0027,Encoder data change after stop [JT7Axis],0.0
9973,211,2.08.2021,E0027,Encoder data change after stop [JT7Axis],0.0
